"state","Type","Ownership","Overall_rating","Mortality","Safety_of_care","Readmission","Patient_experience","Effectiveness_of_Care","Timeliness_of_Care","Medical_imaging"
"CO","Critical Access Hospitals","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Above the national average","Same as the national average","Not Available","Not Available","Not Available"
"VA","Acute Care Hospitals","Voluntary non-profit - Private","4","Same as the national average","Not Available","Above the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"KY","Critical Access Hospitals","Voluntary non-profit - Private","3","Same as the national average","Not Available","Same as the national average","Not Available","Not Available","Above the national average","Same as the national average"
"PA","Acute Care Hospitals","Physician","Not Available","Not Available","Not Available","Not Available","Above the national average","Not Available","Not Available","Not Available"
"OK","Acute Care Hospitals","Proprietary","4","Not Available","Below the national average","Not Available","Above the national average","Same as the national average","Not Available","Not Available"
"TX","Acute Care Hospitals","Proprietary","Not Available","Not Available","Not Available","Not Available","Above the national average","Same as the national average","Same as the national average","Not Available"
"AK","Critical Access Hospitals","Government - Local","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"IN","Acute Care Hospitals","Physician","Not Available","Not Available","Not Available","Not Available","Above the national average","Not Available","Not Available","Not Available"
"AZ","Acute Care Hospitals","Proprietary","2","Same as the national average","Same as the national average","Same as the national average","Below the national average","Same as the national average","Same as the national average","Not Available"
"LA","Acute Care Hospitals","Proprietary","Not Available","Not Available","Not Available","Below the national average","Above the national average","Not Available","Not Available","Not Available"
"WY","Critical Access Hospitals","Government - Hospital District or Authority","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"MN","Critical Access Hospitals","Government - Hospital District or Authority","3","Not Available","Not Available","Same as the national average","Not Available","Same as the national average","Above the national average","Not Available"
"LA","Critical Access Hospitals","Government - Hospital District or Authority","Not Available","Same as the national average","Not Available","Below the national average","Not Available","Not Available","Not Available","Not Available"
"AK","Critical Access Hospitals","Voluntary non-profit - Church","3","Same as the national average","Not Available","Above the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"MN","Critical Access Hospitals","Voluntary non-profit - Other","Not Available","Not Available","Not Available","Not Available","Not Available","Same as the national average","Above the national average","Not Available"
"WI","Critical Access Hospitals","Voluntary non-profit - Church","4","Same as the national average","Not Available","Same as the national average","Above the national average","Not Available","Not Available","Not Available"
"AL","Acute Care Hospitals","Proprietary","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"MT","Critical Access Hospitals","Government - Hospital District or Authority","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"TN","Acute Care Hospitals","Proprietary","2","Same as the national average","Not Available","Below the national average","Not Available","Below the national average","Above the national average","Not Available"
"ID","Acute Care Hospitals","Proprietary","5","Not Available","Not Available","Same as the national average","Above the national average","Not Available","Not Available","Same as the national average"
"VA","Acute Care Hospitals","Voluntary non-profit - Private","4","Not Available","Not Available","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Not Available"
"SD","Critical Access Hospitals","Voluntary non-profit - Private","4","Same as the national average","Not Available","Same as the national average","Same as the national average","Not Available","Not Available","Not Available"
"OH","Critical Access Hospitals","Voluntary non-profit - Private","Not Available","Same as the national average","Not Available","Above the national average","Not Available","Not Available","Not Available","Not Available"
"AR","Critical Access Hospitals","Voluntary non-profit - Private","4","Same as the national average","Not Available","Same as the national average","Not Available","Same as the national average","Above the national average","Not Available"
"NC","Critical Access Hospitals","Voluntary non-profit - Private","4","Same as the national average","Not Available","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"PA","Critical Access Hospitals","Voluntary non-profit - Private","4","Same as the national average","Not Available","Above the national average","Above the national average","Same as the national average","Same as the national average","Below the national average"
"ND","Critical Access Hospitals","Voluntary non-profit - Church","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"OK","Critical Access Hospitals","Voluntary non-profit - Church","Not Available","Not Available","Not Available","Not Available","Not Available","Same as the national average","Same as the national average","Same as the national average"
"TN","Acute Care Hospitals","Government - Local","4","Same as the national average","Not Available","Above the national average","Not Available","Below the national average","Above the national average","Same as the national average"
"KY","Critical Access Hospitals","Voluntary non-profit - Private","2","Not Available","Not Available","Below the national average","Not Available","Same as the national average","Same as the national average","Not Available"
"PA","Critical Access Hospitals","Voluntary non-profit - Private","3","Same as the national average","Not Available","Below the national average","Above the national average","Same as the national average","Same as the national average","Not Available"
"TN","Acute Care Hospitals","Voluntary non-profit - Church","3","Same as the national average","Not Available","Above the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average"
"SD","Critical Access Hospitals","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CA","Critical Access Hospitals","Voluntary non-profit - Other","3","Same as the national average","Not Available","Above the national average","Same as the national average","Same as the national average","Same as the national average","Below the national average"
"SD","Critical Access Hospitals","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"OH","Childrens","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"VA","Acute Care Hospitals","Voluntary non-profit - Other","5","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"KY","Acute Care Hospitals","Proprietary","4","Same as the national average","Not Available","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"WI","Critical Access Hospitals","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Not Available","Not Available","Same as the national average","Above the national average","Not Available"
"FL","Critical Access Hospitals","Government - Hospital District or Authority","Not Available","Same as the national average","Not Available","Above the national average","Not Available","Not Available","Not Available","Not Available"
"KY","Acute Care Hospitals","Voluntary non-profit - Church","4","Above the national average","Above the national average","Below the national average","Above the national average","Same as the national average","Same as the national average","Above the national average"
"ME","Critical Access Hospitals","Voluntary non-profit - Private","4","Same as the national average","Not Available","Below the national average","Above the national average","Same as the national average","Not Available","Same as the national average"
"PR","Acute Care Hospitals","Proprietary","Not Available","Not Available","Not Available","Below the national average","Not Available","Not Available","Not Available","Not Available"
"TX","Childrens","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"MN","Critical Access Hospitals","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Not Available","Not Available","Same as the national average","Above the national average","Not Available"
"OK","Critical Access Hospitals","Proprietary","3","Same as the national average","Not Available","Same as the national average","Not Available","Same as the national average","Above the national average","Not Available"
"MS","Critical Access Hospitals","Voluntary non-profit - Private","2","Not Available","Not Available","Same as the national average","Not Available","Same as the national average","Same as the national average","Not Available"
"IA","Critical Access Hospitals","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Not Available","Not Available","Same as the national average","Same as the national average","Not Available"
"NE","Critical Access Hospitals","Voluntary non-profit - Other","4","Not Available","Not Available","Above the national average","Not Available","Same as the national average","Same as the national average","Not Available"
"WY","Critical Access Hospitals","Government - Hospital District or Authority","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"MN","Childrens","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"AL","Acute Care Hospitals","Proprietary","3","Same as the national average","Not Available","Same as the national average","Not Available","Same as the national average","Above the national average","Not Available"
"TN","Critical Access Hospitals","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Same as the national average","Not Available"
"OR","Critical Access Hospitals","Voluntary non-profit - Church","5","Same as the national average","Not Available","Above the national average","Above the national average","Not Available","Not Available","Not Available"
"DC","Acute Care Hospitals","Voluntary non-profit - Other","2","Above the national average","Below the national average","Below the national average","Below the national average","Below the national average","Below the national average","Above the national average"
"SD","Critical Access Hospitals","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"KS","Critical Access Hospitals","Government - Local","Not Available","Not Available","Not Available","Same as the national average","Not Available","Not Available","Not Available","Not Available"
"TX","Acute Care Hospitals","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"ID","Critical Access Hospitals","Government - Local","3","Not Available","Not Available","Same as the national average","Not Available","Same as the national average","Same as the national average","Same as the national average"
"IA","Acute Care Hospitals","Government - Local","3","Below the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average"
"TX","Acute Care Hospitals","Government - Hospital District or Authority","3","Same as the national average","Same as the national average","Above the national average","Below the national average","Same as the national average","Same as the national average","Same as the national average"
"TX","Critical Access Hospitals","Government - Hospital District or Authority","4","Same as the national average","Not Available","Same as the national average","Not Available","Same as the national average","Above the national average","Not Available"
"ID","Critical Access Hospitals","Voluntary non-profit - Other","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"NY","Acute Care Hospitals","Voluntary non-profit - Other","3","Same as the national average","Not Available","Same as the national average","Not Available","Same as the national average","Same as the national average","Same as the national average"
"OK","Critical Access Hospitals","Government - Hospital District or Authority","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"IL","Critical Access Hospitals","Voluntary non-profit - Private","3","Same as the national average","Not Available","Below the national average","Above the national average","Same as the national average","Not Available","Same as the national average"
"CA","Acute Care Hospitals","Voluntary non-profit - Private","2","Above the national average","Below the national average","Above the national average","Below the national average","Same as the national average","Below the national average","Same as the national average"
"OR","Acute Care Hospitals","Voluntary non-profit - Private","4","Same as the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Not Available"
"AR","Acute Care Hospitals","Proprietary","2","Same as the national average","Above the national average","Below the national average","Below the national average","Below the national average","Above the national average","Same as the national average"
"OH","Critical Access Hospitals","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Above the national average","Not Available"
"TN","Critical Access Hospitals","Government - Hospital District or Authority","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Same as the national average","Not Available"
"LA","Acute Care Hospitals","Physician","5","Not Available","Not Available","Above the national average","Above the national average","Same as the national average","Not Available","Below the national average"
"SD","Critical Access Hospitals","Voluntary non-profit - Other","Not Available","Not Available","Not Available","Same as the national average","Not Available","Not Available","Not Available","Not Available"
"AZ","Acute Care Hospitals","Proprietary","Not Available","Not Available","Not Available","Not Available","Not Available","Same as the national average","Same as the national average","Not Available"
"OH","Acute Care Hospitals","Voluntary non-profit - Private","5","Not Available","Above the national average","Same as the national average","Above the national average","Same as the national average","Not Available","Not Available"
"NM","Acute Care Hospitals","Government - Federal","2","Not Available","Not Available","Above the national average","Below the national average","Same as the national average","Not Available","Not Available"
"ID","Critical Access Hospitals","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Not Available","Not Available","Same as the national average","Same as the national average","Not Available"
"KS","Critical Access Hospitals","Voluntary non-profit - Private","3","Same as the national average","Not Available","Below the national average","Same as the national average","Not Available","Not Available","Not Available"
"OH","Critical Access Hospitals","Voluntary non-profit - Private","4","Same as the national average","Not Available","Below the national average","Above the national average","Not Available","Not Available","Not Available"
"ME","Critical Access Hospitals","Voluntary non-profit - Private","2","Same as the national average","Not Available","Below the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"KS","Critical Access Hospitals","Government - Local","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"IL","Acute Care Hospitals","Voluntary non-profit - Other","2","Same as the national average","Same as the national average","Below the national average","Below the national average","Same as the national average","Below the national average","Same as the national average"
"VA","Acute Care Hospitals","Voluntary non-profit - Private","4","Same as the national average","Not Available","Above the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"CA","Acute Care Hospitals","Proprietary","2","Above the national average","Below the national average","Below the national average","Below the national average","Same as the national average","Below the national average","Not Available"
"KS","Critical Access Hospitals","Government - Hospital District or Authority","Not Available","Not Available","Not Available","Not Available","Not Available","Same as the national average","Same as the national average","Not Available"
"TX","Acute Care Hospitals","Proprietary","4","Not Available","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Below the national average"
"ND","Critical Access Hospitals","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CA","Acute Care Hospitals","Voluntary non-profit - Church","2","Same as the national average","Above the national average","Below the national average","Below the national average","Same as the national average","Below the national average","Same as the national average"
"MT","Critical Access Hospitals","Government - Hospital District or Authority","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"IA","Critical Access Hospitals","Government - Local","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"IL","Critical Access Hospitals","Voluntary non-profit - Private","Not Available","Same as the national average","Not Available","Same as the national average","Not Available","Not Available","Not Available","Not Available"
"CA","Critical Access Hospitals","Government - Hospital District or Authority","4","Same as the national average","Not Available","Same as the national average","Above the national average","Not Available","Same as the national average","Not Available"
"IL","Critical Access Hospitals","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Same as the national average","Not Available","Not Available","Not Available","Not Available"
"MN","Critical Access Hospitals","Voluntary non-profit - Private","3","Not Available","Not Available","Same as the national average","Not Available","Same as the national average","Above the national average","Not Available"
"FL","Acute Care Hospitals","Proprietary","1","Below the national average","Below the national average","Below the national average","Below the national average","Same as the national average","Above the national average","Above the national average"
"AR","Critical Access Hospitals","Voluntary non-profit - Private","3","Same as the national average","Not Available","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Below the national average"
"NE","Critical Access Hospitals","Government - Hospital District or Authority","Not Available","Not Available","Not Available","Same as the national average","Not Available","Not Available","Not Available","Not Available"
"NE","Critical Access Hospitals","Government - Local","4","Not Available","Not Available","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"NE","Critical Access Hospitals","Voluntary non-profit - Private","4","Not Available","Not Available","Same as the national average","Not Available","Same as the national average","Same as the national average","Same as the national average"
"ND","Critical Access Hospitals","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"OK","Acute Care Hospitals","Physician","Not Available","Not Available","Not Available","Not Available","Above the national average","Same as the national average","Not Available","Not Available"
"KS","Acute Care Hospitals","Proprietary","Not Available","Not Available","Not Available","Not Available","Not Available","Same as the national average","Not Available","Not Available"
"CA","Critical Access Hospitals","Government - Hospital District or Authority","3","Not Available","Not Available","Same as the national average","Not Available","Same as the national average","Same as the national average","Not Available"
"FL","Acute Care Hospitals","Proprietary","2","Same as the national average","Above the national average","Below the national average","Below the national average","Same as the national average","Same as the national average","Not Available"
"TX","Acute Care Hospitals","Proprietary","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"LA","Acute Care Hospitals","Government - State","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"MA","Critical Access Hospitals","Voluntary non-profit - Private","5","Same as the national average","Not Available","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"MI","Critical Access Hospitals","Voluntary non-profit - Private","4","Same as the national average","Not Available","Same as the national average","Above the national average","Same as the national average","Above the national average","Not Available"
"NE","Critical Access Hospitals","Government - Local","4","Same as the national average","Not Available","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"LA","Critical Access Hospitals","Government - Hospital District or Authority","4","Same as the national average","Not Available","Above the national average","Not Available","Same as the national average","Same as the national average","Not Available"
"NC","Acute Care Hospitals","Government - Local","3","Same as the national average","Not Available","Below the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"WA","Critical Access Hospitals","Government - Hospital District or Authority","3","Same as the national average","Not Available","Same as the national average","Not Available","Same as the national average","Same as the national average","Same as the national average"
"MT","Critical Access Hospitals","Voluntary non-profit - Private","4","Same as the national average","Not Available","Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"IL","Acute Care Hospitals","Voluntary non-profit - Church","5","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"PA","Critical Access Hospitals","Proprietary","3","Not Available","Not Available","Same as the national average","Not Available","Same as the national average","Above the national average","Not Available"
"TX","Childrens","Voluntary non-profit - Church","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"MO","Critical Access Hospitals","Voluntary non-profit - Church","4","Not Available","Not Available","Same as the national average","Above the national average","Same as the national average","Not Available","Not Available"
"PA","Critical Access Hospitals","Voluntary non-profit - Private","3","Same as the national average","Not Available","Same as the national average","Same as the national average","Same as the national average","Above the national average","Not Available"
"IL","Acute Care Hospitals","Voluntary non-profit - Private","3","Above the national average","Below the national average","Below the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"TX","Acute Care Hospitals","Voluntary non-profit - Private","3","Same as the national average","Above the national average","Below the national average","Above the national average","Same as the national average","Same as the national average","Not Available"
"MN","Critical Access Hospitals","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Not Available","Not Available","Same as the national average","Same as the national average","Not Available"
"OH","Acute Care Hospitals","Voluntary non-profit - Private","3","Same as the national average","Not Available","Below the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average"
"NV","Critical Access Hospitals","Government - Hospital District or Authority","Not Available","Not Available","Not Available","Same as the national average","Not Available","Not Available","Not Available","Not Available"
"MS","Critical Access Hospitals","Voluntary non-profit - Private","Not Available","Same as the national average","Not Available","Below the national average","Not Available","Not Available","Not Available","Not Available"
"TX","Acute Care Hospitals","Proprietary","Not Available","Not Available","Not Available","Not Available","Above the national average","Same as the national average","Not Available","Not Available"
"OH","Acute Care Hospitals","Proprietary","5","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Above the national average","Not Available"
"KS","Critical Access Hospitals","Government - Hospital District or Authority","Not Available","Not Available","Not Available","Same as the national average","Not Available","Not Available","Not Available","Not Available"
"PR","Acute Care Hospitals","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"WI","Critical Access Hospitals","Voluntary non-profit - Private","4","Same as the national average","Not Available","Same as the national average","Above the national average","Not Available","Not Available","Not Available"
"WI","Critical Access Hospitals","Voluntary non-profit - Private","4","Not Available","Not Available","Same as the national average","Above the national average","Same as the national average","Above the national average","Not Available"
"ND","Critical Access Hospitals","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Same as the national average"
"CO","Acute Care Hospitals","Voluntary non-profit - Private","4","Same as the national average","Below the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Not Available"
"PA","Critical Access Hospitals","Voluntary non-profit - Private","3","Same as the national average","Not Available","Same as the national average","Above the national average","Same as the national average","Same as the national average","Not Available"
"OH","Childrens","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"GA","Acute Care Hospitals","Proprietary","3","Same as the national average","Not Available","Same as the national average","Not Available","Same as the national average","Same as the national average","Not Available"
"OK","Critical Access Hospitals","Voluntary non-profit - Private","4","Same as the national average","Not Available","Same as the national average","Not Available","Same as the national average","Above the national average","Not Available"
"ME","Critical Access Hospitals","Voluntary non-profit - Private","4","Same as the national average","Not Available","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"KS","Critical Access Hospitals","Government - Local","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"IN","Acute Care Hospitals","Voluntary non-profit - Church","5","Not Available","Not Available","Above the national average","Above the national average","Same as the national average","Not Available","Not Available"
"SD","Critical Access Hospitals","Voluntary non-profit - Private","Not Available","Same as the national average","Not Available","Below the national average","Not Available","Not Available","Not Available","Not Available"
"TX","Critical Access Hospitals","Voluntary non-profit - Private","3","Same as the national average","Not Available","Below the national average","Same as the national average","Not Available","Not Available","Not Available"
"MI","Critical Access Hospitals","Voluntary non-profit - Private","4","Not Available","Not Available","Same as the national average","Not Available","Not Available","Same as the national average","Same as the national average"
"KS","Critical Access Hospitals","Government - Local","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"ME","Acute Care Hospitals","Voluntary non-profit - Private","2","Same as the national average","Below the national average","Above the national average","Below the national average","Same as the national average","Below the national average","Above the national average"
"TN","Acute Care Hospitals","Voluntary non-profit - Other","Not Available","Not Available","Not Available","Not Available","Above the national average","Not Available","Not Available","Not Available"
"OH","Acute Care Hospitals","Voluntary non-profit - Private","3","Same as the national average","Same as the national average","Below the national average","Same as the national average","Same as the national average","Above the national average","Above the national average"
"PA","Critical Access Hospitals","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Same as the national average","Not Available"
"IL","Childrens","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"GA","Acute Care Hospitals","Voluntary non-profit - Private","3","Same as the national average","Not Available","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"GA","Critical Access Hospitals","Government - Local","Not Available","Not Available","Not Available","Not Available","Not Available","Same as the national average","Same as the national average","Not Available"
"SD","Childrens","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"TX","Critical Access Hospitals","Government - Hospital District or Authority","Not Available","Not Available","Not Available","Not Available","Not Available","Same as the national average","Above the national average","Not Available"
"NH","Critical Access Hospitals","Voluntary non-profit - Private","3","Same as the national average","Not Available","Below the national average","Same as the national average","Not Available","Not Available","Not Available"
"VA","Acute Care Hospitals","Voluntary non-profit - Other","3","Same as the national average","Not Available","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Not Available"
"TX","Acute Care Hospitals","Government - Hospital District or Authority","4","Same as the national average","Not Available","Same as the national average","Above the national average","Same as the national average","Above the national average","Not Available"
"NE","Critical Access Hospitals","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Not Available","Not Available","Same as the national average","Same as the national average","Not Available"
"TX","Acute Care Hospitals","Proprietary","Not Available","Not Available","Not Available","Not Available","Above the national average","Same as the national average","Same as the national average","Not Available"
"FL","Acute Care Hospitals","Voluntary non-profit - Private","2","Same as the national average","Below the national average","Below the national average","Same as the national average","Same as the national average","Below the national average","Not Available"
"PR","Acute Care Hospitals","Proprietary","Not Available","Not Available","Not Available","Below the national average","Not Available","Not Available","Not Available","Not Available"
"NE","Critical Access Hospitals","Voluntary non-profit - Private","4","Not Available","Not Available","Same as the national average","Not Available","Same as the national average","Above the national average","Same as the national average"
"MT","Critical Access Hospitals","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"WV","Critical Access Hospitals","Voluntary non-profit - Private","3","Same as the national average","Not Available","Same as the national average","Above the national average","Same as the national average","Above the national average","Below the national average"
"NY","Acute Care Hospitals","Government - Local","2","Same as the national average","Not Available","Below the national average","Below the national average","Same as the national average","Same as the national average","Same as the national average"
"ID","Critical Access Hospitals","Voluntary non-profit - Private","4","Same as the national average","Not Available","Above the national average","Above the national average","Not Available","Not Available","Not Available"
"TX","Acute Care Hospitals","Proprietary","5","Not Available","Not Available","Above the national average","Above the national average","Same as the national average","Above the national average","Not Available"
"MN","Critical Access Hospitals","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Not Available","Not Available","Same as the national average","Same as the national average","Same as the national average"
"OH","Childrens","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"AZ","Critical Access Hospitals","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Same as the national average","Not Available"
"SD","Critical Access Hospitals","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Not Available","Not Available","Same as the national average","Not Available","Not Available"
"IA","Critical Access Hospitals","Voluntary non-profit - Other","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Same as the national average","Same as the national average"
"LA","Acute Care Hospitals","Physician","Not Available","Not Available","Not Available","Not Available","Above the national average","Not Available","Not Available","Not Available"
"TX","Critical Access Hospitals","Government - Local","Not Available","Same as the national average","Not Available","Same as the national average","Not Available","Not Available","Not Available","Not Available"
"TX","Childrens","Voluntary non-profit - Other","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"GA","Childrens","Voluntary non-profit - Other","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"OK","Acute Care Hospitals","Government - Hospital District or Authority","4","Not Available","Not Available","Below the national average","Above the national average","Below the national average","Above the national average","Not Available"
"OH","Acute Care Hospitals","Voluntary non-profit - Other","3","Same as the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Below the national average"
"KS","Acute Care Hospitals","Proprietary","4","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"NE","Critical Access Hospitals","Government - Local","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"PA","Acute Care Hospitals","Physician","Not Available","Not Available","Not Available","Not Available","Above the national average","Not Available","Not Available","Not Available"
"KS","Acute Care Hospitals","Government - Local","3","Not Available","Not Available","Same as the national average","Not Available","Below the national average","Above the national average","Not Available"
"MO","Critical Access Hospitals","Government - Local","3","Same as the national average","Not Available","Below the national average","Above the national average","Same as the national average","Same as the national average","Not Available"
"OH","Critical Access Hospitals","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Same as the national average","Not Available","Not Available","Not Available","Not Available"
"NY","Acute Care Hospitals","Voluntary non-profit - Private","2","Same as the national average","Not Available","Below the national average","Same as the national average","Same as the national average","Same as the national average","Below the national average"
"VA","Acute Care Hospitals","Voluntary non-profit - Private","3","Same as the national average","Not Available","Below the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average"
"AL","Childrens","Government - State","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"TX","Acute Care Hospitals","Physician","Not Available","Not Available","Not Available","Not Available","Above the national average","Same as the national average","Not Available","Not Available"
"IA","Critical Access Hospitals","Proprietary","4","Same as the national average","Not Available","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"GA","Acute Care Hospitals","Voluntary non-profit - Private","4","Same as the national average","Not Available","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"AZ","Acute Care Hospitals","Proprietary","2","Same as the national average","Same as the national average","Below the national average","Below the national average","Same as the national average","Below the national average","Not Available"
"MI","Critical Access Hospitals","Voluntary non-profit - Private","3","Same as the national average","Not Available","Below the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"MO","Critical Access Hospitals","Voluntary non-profit - Private","Not Available","Same as the national average","Not Available","Below the national average","Not Available","Not Available","Not Available","Not Available"
"MS","Acute Care Hospitals","Government - Federal","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"VA","Acute Care Hospitals","Government - State","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"PA","Critical Access Hospitals","Voluntary non-profit - Private","5","Same as the national average","Not Available","Above the national average","Above the national average","Same as the national average","Above the national average","Not Available"
"OH","Critical Access Hospitals","Government - Local","4","Same as the national average","Not Available","Same as the national average","Not Available","Same as the national average","Same as the national average","Same as the national average"
"MS","Critical Access Hospitals","Government - Local","2","Same as the national average","Not Available","Below the national average","Not Available","Not Available","Above the national average","Not Available"
"MS","Critical Access Hospitals","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Same as the national average","Not Available","Not Available","Not Available","Not Available"
"IL","Acute Care Hospitals","Voluntary non-profit - Private","4","Below the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
